lags_to_use,fuzzy_sets,fuzzy_score,average_score
1,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.409,0.4501
2,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4261,0.4717
3,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.444,0.4502
4,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4214,0.4301
5,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4065,0.4266
6,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.3755,0.4205
7,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.3388,0.4141
8,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.3536,0.4188
9,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.37,0.4225
10,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.3933,0.4191
